epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,220.448,1.0654,1.7422,3.12242,1.12303,0.84185,0.086,0.19525,0.14628,0.84185,0.086,0.18389,0.12926,1.32514,2.26111,8.48053,1.2468,0.00065,0.00065,0.00065
2,450.286,1.10695,1.40527,2.48483,1.18319,0.35406,0.37903,0.25705,0.14165,0.35973,0.3871,0.27513,0.16779,1.65474,1.83848,9.03209,1.60039,0.0012906,0.0012906,0.0012906
3,680.194,1.28317,1.316,2.39382,1.27839,0.13509,0.3629,0.22512,0.14295,0.13509,0.3629,0.24065,0.18835,1.67423,2.19667,98.7898,1.78844,0.00190479,0.00190479,0.00190479
4,908.429,1.30419,1.35258,2.11307,1.31176,0.49665,0.44561,0.37026,0.20692,0.50551,0.46169,0.40552,0.24868,1.65874,1.71994,19.929,1.79169,0.0018812,0.0018812,0.0018812
5,1121.54,1.23766,1.16104,1.82579,1.29365,0.45531,0.57258,0.47899,0.26192,0.41643,0.52419,0.44577,0.23019,1.57646,2.51629,4.39903,1.5785,0.0018416,0.0018416,0.0018416
6,1330.84,1.21885,1.24667,1.61384,1.25401,0.72017,0.49812,0.59385,0.33257,0.70852,0.51613,0.62097,0.42299,1.47396,1.21493,3.19784,1.51387,0.001802,0.001802,0.001802
7,1544.74,1.17019,1.11654,1.46467,1.25138,0.69187,0.66129,0.70552,0.42702,0.69187,0.66129,0.71464,0.48537,1.39057,1.12776,2.3289,1.36477,0.0017624,0.0017624,0.0017624
8,1756.35,1.12029,1.15353,1.33586,1.22814,0.84674,0.62378,0.78375,0.52902,0.8345,0.60484,0.76514,0.54506,1.16792,1.15623,2.87656,1.23846,0.0017228,0.0017228,0.0017228
9,1966.56,1.11692,1.1558,1.29273,1.20959,0.76046,0.70161,0.75037,0.4759,0.81407,0.71774,0.76526,0.53043,1.23551,1.1709,4.90652,1.20617,0.0016832,0.0016832,0.0016832
10,2175.61,1.03458,1.04115,1.1667,1.17027,0.8262,0.62903,0.72852,0.49342,0.84629,0.62162,0.72505,0.51283,1.26649,1.22986,2.22384,1.23608,0.0016436,0.0016436,0.0016436
11,2387.73,1.07507,1.09512,1.13557,1.21165,0.8183,0.66129,0.72614,0.49241,0.80832,0.65323,0.72029,0.51375,1.13735,1.20736,1.91778,1.14959,0.001604,0.001604,0.001604
12,2598.77,1.06091,1.20893,1.17425,1.15148,0.85868,0.6371,0.74564,0.46725,0.84559,0.62903,0.70987,0.48609,1.19389,1.38818,1.51975,1.17964,0.0015644,0.0015644,0.0015644
13,2809.44,1.00838,1.11322,1.08099,1.14876,0.68718,0.77951,0.76673,0.47875,0.81432,0.63662,0.74483,0.48515,1.32351,1.30677,1.39422,1.27931,0.0015248,0.0015248,0.0015248
14,3018.4,1.06919,1.14868,1.09258,1.15597,0.83422,0.77108,0.83123,0.56405,0.84002,0.76226,0.83007,0.59799,1.16043,1.10658,1.38672,1.16883,0.0014852,0.0014852,0.0014852
15,3228.66,0.96938,1.10916,0.967,1.10587,0.8231,0.67542,0.76295,0.52002,0.81348,0.6683,0.74813,0.53663,1.24405,1.1403,2.57474,1.21252,0.0014456,0.0014456,0.0014456
